dateTimeStamp,TC_gaze,TC_exposure_only
2023-09-25 13:21:34,0,1
2023-09-25 13:21:36,0,1
2023-09-25 13:21:38,0,1
2023-09-25 13:21:40,0,1
2023-09-25 13:21:42,0,1
2023-09-25 13:21:44,0,1
2023-09-25 13:21:46,0,1
2023-09-25 13:21:48,0,1
2023-09-25 13:21:50,0,1
2023-09-25 13:21:52,0,1
2023-09-25 13:21:54,1,0
2023-09-25 13:21:56,0,1
2023-09-25 13:21:58,0,1
2023-09-25 13:22:00,0,1
2023-09-25 13:22:02,0,1
2023-09-25 13:22:04,0,1
2023-09-25 13:22:06,0,1
2023-09-25 13:22:08,0,1
2023-09-25 13:22:10,0,1
2023-09-25 13:22:12,1,0
2023-09-25 13:22:14,1,0
2023-09-25 13:22:16,0,1
2023-09-25 13:22:18,0,1
2023-09-25 13:22:20,0,1
2023-09-25 13:22:22,0,1
2023-09-25 13:22:24,0,1
2023-09-25 13:22:26,0,1
2023-09-25 13:22:28,0,1
2023-09-25 13:22:30,0,1
2023-09-25 13:22:32,0,1
2023-09-25 13:22:34,0,1
2023-09-25 13:22:36,0,1
2023-09-25 13:22:38,0,1
2023-09-25 13:22:40,0,1
2023-09-25 13:22:42,0,1
2023-09-25 13:22:44,0,1
2023-09-25 13:22:46,0,1
2023-09-25 13:22:48,0,1
2023-09-25 13:22:50,0,1
2023-09-25 13:22:52,0,1
2023-09-25 13:22:54,0,1
2023-09-25 13:22:56,0,1
2023-09-25 13:22:58,0,1
2023-09-25 13:23:00,0,1
2023-09-25 13:23:02,0,1
2023-09-25 13:23:04,0,1
2023-09-25 13:23:06,0,1
2023-09-25 13:23:08,0,1
2023-09-25 13:23:10,0,1
2023-09-25 13:23:12,0,1
2023-09-25 13:23:14,0,1
2023-09-25 13:23:16,1,0
2023-09-25 13:23:18,0,1
2023-09-25 13:23:20,0,1
2023-09-25 13:23:22,0,1
2023-09-25 13:23:24,0,1
2023-09-25 13:23:26,0,1
2023-09-25 13:23:28,0,1
2023-09-25 13:23:30,0,1
2023-09-25 13:23:32,0,1
2023-09-25 13:23:34,0,1
2023-09-25 13:23:36,0,1
2023-09-25 13:23:38,0,1
2023-09-25 13:23:40,0,1
2023-09-25 13:23:42,0,1
2023-09-25 13:23:44,0,1
2023-09-25 13:23:46,0,1
2023-09-25 13:23:48,0,1
2023-09-25 13:23:50,0,1
2023-09-25 13:23:52,0,1
2023-09-25 13:23:54,0,1
2023-09-25 13:23:56,0,1
2023-09-25 13:23:58,0,1
2023-09-25 13:24:00,0,1
2023-09-25 13:24:02,0,0
2023-09-25 13:24:04,0,1
2023-09-25 13:24:06,0,1
2023-09-25 13:24:08,1,0
2023-09-25 13:24:10,0,1
2023-09-25 13:24:12,0,1
2023-09-25 13:24:14,0,1
2023-09-25 13:24:16,0,1
2023-09-25 13:24:18,0,1
2023-09-25 13:24:20,0,1
2023-09-25 13:24:22,0,1
2023-09-25 13:24:24,0,1
2023-09-25 13:24:26,0,1
2023-09-25 13:24:28,0,1
2023-09-25 13:24:30,0,1
2023-09-25 13:24:32,0,1
2023-09-25 13:24:34,0,1
2023-09-25 13:24:36,0,1
2023-09-25 13:24:38,0,1
2023-09-25 13:24:40,0,1
2023-09-25 13:24:42,0,1
2023-09-25 13:24:44,0,1
2023-09-25 13:24:46,0,1
2023-09-25 13:24:48,0,1
2023-09-25 13:24:50,0,1
2023-09-25 13:24:52,0,1
2023-09-25 13:24:54,0,1
2023-09-25 13:24:56,0,1
2023-09-25 13:24:58,0,1
2023-09-25 13:25:00,0,1
2023-09-25 13:25:02,0,1
2023-09-25 13:25:04,0,1
2023-09-25 13:25:06,0,1
2023-09-25 13:25:08,0,1
2023-09-25 13:25:10,0,1
2023-09-25 13:25:12,0,1
2023-09-25 13:25:14,0,1
2023-09-25 13:25:16,0,1
2023-09-25 13:25:18,0,1
2023-09-25 13:25:20,0,1
2023-09-25 13:25:22,0,1
2023-09-25 13:25:24,0,1
2023-09-25 13:25:26,0,1
2023-09-25 13:25:28,0,1
2023-09-25 13:25:30,0,1
2023-09-25 13:25:32,0,1
2023-09-25 13:25:34,0,1
2023-09-25 13:25:36,0,1
2023-09-25 13:25:38,0,1
2023-09-25 13:25:40,0,1
2023-09-25 13:25:42,0,1
2023-09-25 13:25:44,0,1
2023-09-25 13:25:46,0,1
2023-09-25 13:25:48,0,1
